Cu,Fe,Cr,Al,Si,Pb,Sn,Ni,Na,B,P,Zn,Mo,Ca,Mg,TBN,V100,V40,OXI,TAN,delta_visc_40,metal_sum,iron_to_copper_ratio,water_flag,antifreeze_flag,label
5,6,0,1,3,18,1,0,8,1,44,38,2,196,0,3.56,12.83,161.5,9,0.07,11.5,31,1.2,0,0,normal
4,14,0,0,0,19,4,1,18,1,69,17,3,267,2,0.29,15.26,164.6,4,0.01,14.599999999999994,41,3.5,0,0,oil_change_needed
6,8,0,0,3,18,0,0,5,4,52,36,0,395,2,3.07,15.7,149.8,0,0.09,-0.1999999999999886,32,1.33,0,0,normal
6,13,0,0,2,22,1,0,19,3,50,89,0,116,1,2.35,16.9,158.8,9,0.18,8.800000000000011,42,2.17,0,0,normal
2,2,1,1,4,24,1,0,17,0,43,28,0,493,1,1.39,15.11,154.3,2,0.14,4.300000000000011,31,1.0,0,0,oil_change_needed
4,12,0,2,2,15,0,0,9,3,44,79,1,357,3,1.98,14.57,167.0,4,0.04,17.0,33,3.0,0,0,oil_change_needed
5,10,0,1,0,25,1,0,6,1,58,84,2,449,5,0.62,17.59,153.6,6,0.12,3.5999999999999943,42,2.0,0,0,oil_change_needed
6,11,1,0,1,15,1,0,0,3,48,92,1,300,2,3.03,13.05,154.9,5,0.14,4.900000000000006,34,1.83,0,0,normal
6,6,0,0,2,23,2,0,14,2,30,62,3,323,3,3.6,14.59,162.0,1,0.12,12.0,37,1.0,0,0,normal
7,10,0,2,1,24,1,0,9,3,47,17,2,361,4,0.21,16.09,162.3,4,0.13,12.300000000000011,44,1.43,0,0,oil_change_needed
4,13,0,1,2,24,2,0,5,1,67,10,0,231,1,2.76,12.77,157.1,11,0.06,7.099999999999994,44,3.25,0,0,oil_change_needed
6,8,1,0,2,21,5,0,14,3,66,75,0,429,1,2.11,14.91,167.2,5,0.16,17.19999999999999,41,1.33,0,0,oil_change_needed
6,8,0,3,2,22,2,0,6,5,57,97,0,312,3,2.7,14.25,158.3,14,0.04,8.300000000000011,41,1.33,1,0,water_contamination
7,10,1,1,2,19,2,1,7,7,53,14,1,323,4,2.17,13.32,149.2,1,0.11,-0.8000000000000114,40,1.43,0,0,oil_change_needed
9,13,0,1,1,26,2,0,7,5,66,29,0,427,4,1.38,14.16,135.9,10,0.22,-14.099999999999994,51,1.44,0,0,sludge_formation
2,10,1,2,2,22,3,0,17,1,52,69,2,368,3,2.71,14.56,150.9,7,-0.04,0.9000000000000057,40,5.0,0,0,normal
5,12,0,1,6,25,3,1,5,3,49,26,0,262,5,1.21,14.95,167.2,5,0.08,17.19999999999999,46,2.4,0,0,dirt_in_oil
8,7,0,1,5,20,3,1,17,3,30,19,0,237,3,0.38,15.56,145.7,13,0.17,-4.300000000000011,39,0.88,0,0,oil_change_needed
6,7,0,2,4,20,4,0,9,4,44,74,3,156,4,2.95,17.15,149.3,10,0.06,-0.6999999999999886,39,1.17,0,0,normal
5,13,0,1,1,14,2,0,10,7,42,11,0,351,1,1.72,15.44,150.4,7,0.13,0.4000000000000057,35,2.6,0,0,oil_change_needed
4,12,1,0,3,23,2,0,6,0,40,80,2,492,7,2.72,15.34,149.9,4,0.15,-0.0999999999999943,42,3.0,0,0,normal
8,11,0,2,1,20,5,0,18,4,66,88,1,332,3,1.87,15.64,148.5,9,0.08,-1.5,46,1.38,0,0,normal
7,12,0,2,3,21,0,0,6,4,48,73,1,466,3,2.61,13.26,171.7,1,0.13,21.69999999999999,42,1.71,0,0,oil_change_needed
2,7,0,1,4,12,1,1,2,2,59,97,2,361,0,1.43,17.8,161.5,4,0.11,11.5,23,3.5,0,0,normal
3,6,0,1,3,26,4,0,10,3,57,79,0,457,1,3.14,15.65,153.9,14,0.09,3.9000000000000057,40,2.0,0,0,normal
3,13,0,1,2,15,2,0,19,3,34,90,0,325,1,1.55,15.08,175.9,13,0.09,25.90000000000001,34,4.33,0,0,oil_change_needed
1,8,0,0,2,20,1,0,14,2,65,20,0,222,1,2.43,16.07,160.7,4,0.18,10.699999999999989,30,8.0,0,0,oil_change_needed
8,13,0,0,2,16,0,0,11,4,48,34,2,236,4,3.23,15.42,144.6,12,0.13,-5.400000000000006,37,1.62,0,0,normal
4,7,1,1,0,18,3,0,14,6,45,69,1,415,3,2.47,14.51,148.9,6,0.06,-1.0999999999999943,34,1.75,0,0,normal
2,10,0,2,2,17,1,1,1,3,68,79,1,243,4,2.07,15.03,152.2,4,-0.01,2.1999999999999886,32,5.0,0,0,normal
5,12,1,2,2,26,4,0,12,8,42,74,0,283,1,3.04,12.37,162.0,5,0.14,12.0,50,2.4,0,0,normal
5,8,0,0,3,21,5,0,13,3,36,11,0,480,1,2.51,13.75,165.0,9,0.08,15.0,39,1.6,0,0,oil_change_needed
3,9,0,2,1,19,2,0,4,1,42,91,2,117,2,2.38,13.95,154.8,0,0.04,4.800000000000011,35,3.0,0,0,normal
3,13,0,2,1,16,4,0,14,3,36,18,2,169,1,1.95,13.34,147.6,4,0.03,-2.4000000000000057,38,4.33,0,0,oil_change_needed
8,10,0,2,2,20,4,0,5,1,45,35,0,199,1,1.41,13.79,157.9,2,0.1,7.900000000000006,44,1.25,0,0,normal
5,7,0,1,3,19,1,0,11,4,68,76,1,414,0,1.5,14.74,151.5,6,0.11,1.5,33,1.4,0,0,normal
9,11,0,1,0,22,1,0,0,0,48,38,0,318,2,2.3,11.7,168.7,10,0.06,18.69999999999999,44,1.22,0,0,oil_change_needed
4,7,1,0,0,20,2,0,10,5,51,62,0,328,4,2.31,16.22,156.8,6,0.05,6.800000000000011,34,1.75,0,0,normal
